date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:00	232/232	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Jan%202023%2008:54:01%20GMT	https://ldnl.construction/robots.txt		(from )
11:54:00	71937/71937	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Jan%202023%2008:54:01%20GMT	https://ldnl.construction/	C:/My%20Web%20Sites/Lagan%20construction/ldnl.construction/index.html	(from )
11:54:00	343310/343310	---MCZ	200	added ('OK')	text/css	etag:W/%226590d-5e7ff7b937332-gzip%22	https://ldnl.construction/peconstructiony.webflow.cef2a597f.css	C:/My%20Web%20Sites/Lagan%20construction/ldnl.construction/peconstructiony.webflow.cef2a597f.css	(from https://ldnl.construction/)
11:54:00	2679/2679	---MCZ	200	added ('OK')	text/css	etag:W/%2210c3-5e7ff547b9418-gzip%22	https://ldnl.construction/orgchart.css	C:/My%20Web%20Sites/Lagan%20construction/ldnl.construction/orgchart.css	(from https://ldnl.construction/)
11:54:02	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/Lagan%20construction/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://ldnl.construction/)
11:54:03	356/356	---M--	200	added ('OK')	image/png	etag:%221f00d7b58eee8021dff8dfa01735d16c%22	https://assets.website-files.com/62849b600f97da595f555ab5/6290bf8dffb84e91e804ba21_Favicon%20Green.png	C:/My%20Web%20Sites/Lagan%20construction/assets.website-files.com/62849b600f97da595f555ab5/6290bf8dffb84e91e804ba21_Favicon%20Green.png	(from https://ldnl.construction/)
11:54:03	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://assets.website-files.com/img/webclip.png	C:/My%20Web%20Sites/Lagan%20construction/assets.website-files.com/img/webclip.png	(from https://ldnl.construction/)
11:54:04	31068/31068	---M--	200	added ('OK')	image/png	etag:%22795c-5e7ed061d0cb8%22	https://ldnl.construction/cropped-Lagan-DOTT-Namanve-Limited-Logo-1.-psd.png	C:/My%20Web%20Sites/Lagan%20construction/ldnl.construction/cropped-Lagan-DOTT-Namanve-Limited-Logo-1.-psd.png	(from https://ldnl.construction/)
11:54:04	326/326	---M--	200	added ('OK')	image/png	etag:%22418050632c5a31e73ed5b91855f635b2%22	https://assets.website-files.com/62849b600f97da595f555ab5/62849b600f97da9768555b15_x_icon.png	C:/My%20Web%20Sites/Lagan%20construction/assets.website-files.com/62849b600f97da595f555ab5/62849b600f97da9768555b15_x_icon.png	(from https://ldnl.construction/)
11:54:05	17670/17670	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Jan%202023%2008:54:06%20GMT	https://ldnl.construction/construction	C:/My%20Web%20Sites/Lagan%20construction/ldnl.construction/construction.html	(from https://ldnl.construction/)
11:54:05	11872/11872	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Jan%202023%2008:54:07%20GMT	https://ldnl.construction/feasibility	C:/My%20Web%20Sites/Lagan%20construction/ldnl.construction/feasibility.html	(from https://ldnl.construction/)
11:54:05	16449/16449	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Jan%202023%2008:54:07%20GMT	https://ldnl.construction/hsse	C:/My%20Web%20Sites/Lagan%20construction/ldnl.construction/hsse.html	(from https://ldnl.construction/)
11:54:06	15701/15701	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Jan%202023%2008:54:08%20GMT	https://ldnl.construction/quality	C:/My%20Web%20Sites/Lagan%20construction/ldnl.construction/quality.html	(from https://ldnl.construction/)
11:54:06	14150/14150	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Jan%202023%2008:54:08%20GMT	https://ldnl.construction/contact	C:/My%20Web%20Sites/Lagan%20construction/ldnl.construction/contact.html	(from https://ldnl.construction/)
11:54:07	479236/479236	---M--	200	added ('OK')	image/jpeg	etag:%2275004-5e7ed93c5e615%22	https://ldnl.construction/a.jpg	C:/My%20Web%20Sites/Lagan%20construction/ldnl.construction/a.jpg	(from https://ldnl.construction/)
11:54:07	502926/502926	---M--	200	added ('OK')	image/jpeg	etag:%227ac8e-5e455d5ae0a37%22	https://ldnl.construction/WhatsApp%20Image%202022-01-25%20at%205.21.27%20PM%20(1).jpeg	C:/My%20Web%20Sites/Lagan%20construction/ldnl.construction/WhatsApp%20Image%202022-01-25%20at%205.21.27%20PM%20(1).jpg	(from https://ldnl.construction/)
11:54:08	201853/201853	---M--	200	added ('OK')	image/jpeg	etag:%223147d-5e455d5addb57%22	https://ldnl.construction/G-30%20mixing%20at%20N-1%20road%200+440%20to%200+700FW%20...jpeg	C:/My%20Web%20Sites/Lagan%20construction/ldnl.construction/G-30%20mixing%20at%20N-1%20road%200+440%20to%200+700FW%20...jpg	(from https://ldnl.construction/)
11:54:08	26907/26907	---M--	200	added ('OK')	image/png	etag:%22483d2d8b5f5855c8a6c5bd63c5806e0b%22	https://assets.website-files.com/62849b600f97da595f555ab5/62849b600f97da7c01555b4b_Background-2%20(1).png	C:/My%20Web%20Sites/Lagan%20construction/assets.website-files.com/62849b600f97da595f555ab5/62849b600f97da7c01555b4b_Background-2%20(1).png	(from https://ldnl.construction/)
11:54:08	27884/27884	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Sep%202022%2013:01:41%20GMT	https://ldnl.construction/projects/new-case.html	C:/My%20Web%20Sites/Lagan%20construction/ldnl.construction/projects/new-case.html	(from https://ldnl.construction/)
11:54:09	110242/110242	---M--	200	added ('OK')	image/jpeg	etag:%221aea2-5e455d5addb57%22	https://ldnl.construction/FDT%20for%20G7%20top%20from%201+120%20to%201+240%20fw%20at%20C-9.jpeg	C:/My%20Web%20Sites/Lagan%20construction/ldnl.construction/FDT%20for%20G7%20top%20from%201+120%20to%201+240%20fw%20at%20C-9.jpg	(from https://ldnl.construction/)
11:54:10	59990/59990	---M--	200	added ('OK')	image/jpeg	etag:%22ea56-5e455d5adeaf7%22	https://ldnl.construction/N2%20road%200+260-0360fw%20g7%201st%20layer.jpeg	C:/My%20Web%20Sites/Lagan%20construction/ldnl.construction/N2%20road%200+260-0360fw%20g7%201st%20layer.jpg	(from https://ldnl.construction/)
11:54:10	259705/259705	---M--	200	added ('OK')	image/jpeg	etag:%223f679-5e455d5adeaf7%22	https://ldnl.construction/N1%20CH%200+220%20-%200+560%20FW%20G7%20Fill%20processing.jpeg	C:/My%20Web%20Sites/Lagan%20construction/ldnl.construction/N1%20CH%200+220%20-%200+560%20FW%20G7%20Fill%20processing.jpg	(from https://ldnl.construction/)
11:54:11	168173/168173	---M--	200	added ('OK')	image/jpeg	etag:%22290ed-5e455d5adfa97%22	https://ldnl.construction/Preparation%20of%20G-30%20top%20layer%20at%20N-2%200+000%20to%200+360%20FW%20COMPLETED.JPEG	C:/My%20Web%20Sites/Lagan%20construction/ldnl.construction/Preparation%20of%20G-30%20top%20layer%20at%20N-2%200+000%20to%200+360%20FW%20COMPLETED.jpg	(from https://ldnl.construction/)
11:54:11	174148/174148	---M--	200	added ('OK')	image/jpeg	etag:%222a844-5e455d5adfa97%22	https://ldnl.construction/Preparation%20of%20G15%20Layer%20A-2%20ROAD%20CH%200+880%20-%201+120%20FW%20at%2011.59.17%20AM.JPEG	C:/My%20Web%20Sites/Lagan%20construction/ldnl.construction/Preparation%20of%20G15%20Layer%20A-2%20ROAD%20CH%200+880%20-%201+120%20FW%20at%2011.59.17%20AM.jpg	(from https://ldnl.construction/)
11:54:12	158182/158182	---M--	200	added ('OK')	image/jpeg	etag:%22269e6-5e455d5adfa97%22	https://ldnl.construction/Shaping%20and%20compaction%20of%20Gravel%20Fills%20First%20layer%20CH%200+060%20-%200+200%20LHS%20....jpeg	C:/My%20Web%20Sites/Lagan%20construction/ldnl.construction/Shaping%20and%20compaction%20of%20Gravel%20Fills%20First%20layer%20CH%200+060%20-%200+200%20LHS%20....jpg	(from https://ldnl.construction/)
11:54:12	260590/260590	---M--	200	added ('OK')	image/jpeg	etag:%223f9ee-5e78a22f07e1a%22	https://ldnl.construction/LaganDott/pics/20220804_120332161.jpg	C:/My%20Web%20Sites/Lagan%20construction/ldnl.construction/LaganDott/pics/20220804_120332161.jpg	(from https://ldnl.construction/)
11:54:13	330046/330046	---M--	200	added ('OK')	image/jpeg	etag:%225093e-5e78a22f07e1a%22	https://ldnl.construction/LaganDott/pics/20220804_150419126.jpg	C:/My%20Web%20Sites/Lagan%20construction/ldnl.construction/LaganDott/pics/20220804_150419126.jpg	(from https://ldnl.construction/)
11:54:14	324178/324178	---M--	200	added ('OK')	image/jpeg	etag:%224f252-5e78a22f07e1a%22	https://ldnl.construction/LaganDott/pics/20220804_124120620.jpg	C:/My%20Web%20Sites/Lagan%20construction/ldnl.construction/LaganDott/pics/20220804_124120620.jpg	(from https://ldnl.construction/)
11:54:14	318121/318121	---M--	200	added ('OK')	image/jpeg	etag:%224daa9-5e78a22f07e1a%22	https://ldnl.construction/LaganDott/pics/20220804_124354180.jpg	C:/My%20Web%20Sites/Lagan%20construction/ldnl.construction/LaganDott/pics/20220804_124354180.jpg	(from https://ldnl.construction/)
